"id","year","season","scheme","state_name","state_code","district_count","farmer_count","loanee","non_loanee","area_insured","sum_insured","farmer_share","goi_share","state_share","male","female","transgender","sc","st","obc","gen","marginal","small","other","iu_count","gross_premium"
49,"2018-01-01","Rabi","PMFBY","Rajasthan","8",33.0,1666682.0,2999970.0,1460.0,3126.99,1411421.24,25437.01,44290.13,44290.13,88.92,10.93,0.15,8.22,8.97,61.85,20.96,19.74,50.04,30.22,10613.0,114017.27
50,"2018-01-01","Rabi","PMFBY","Tamil Nadu","33",31.0,1155278.0,435757.0,1893462.0,1381.82,850181.09,14472.8,72192.19,72192.19,72.98,26.96,0.06,10.82,0.22,46.61,42.35,12.16,79.15,8.69,14783.0,158857.18
51,"2018-01-01","Rabi","PMFBY","Telangana","36",30.0,182511.0,165793.0,34053.0,209.37,146900.48,2311.77,1422.0,1422.0,72.28,27.68,0.04,8.73,9.4,54.53,27.34,16.18,66.63,17.19,7195.0,5155.77
52,"2018-01-01","Rabi","PMFBY","Tripura","16",7.0,2024.0,65.0,2049.0,0.33,219.05,5.03,2.04,2.04,88.65,11.31,0.04,27.34,27.01,23.42,22.23,20.06,66.89,13.05,49.0,9.11
53,"2018-01-01","Rabi","PMFBY","Uttar Pradesh","9",75.0,2653980.0,2895751.0,79334.0,2425.09,1155040.29,20286.51,25230.01,25230.01,91.81,8.14,0.05,7.27,0.61,29.34,62.78,27.77,62.43,9.8,53631.0,70746.53
54,"2018-01-01","Rabi","PMFBY","Uttarakhand","5",13.0,44141.0,39234.0,7973.0,30.93,22390.48,335.86,275.57,275.57,90.08,9.86,0.06,7.72,16.62,11.25,64.41,28.78,61.27,9.95,230.0,887.0
55,"2018-01-01","Rabi","PMFBY","West Bengal","19",22.0,2054414.0,1383758.0,1411471.0,999.81,842893.14,8727.99,15393.36,25480.2,87.78,12.2,0.02,11.13,1.28,7.88,79.71,29.11,62.02,8.87,3124.0,49601.55
56,"2018-01-01","Rabi","WBCIS","Andhra Pradesh","28",13.0,11995.0,11161.0,3525.0,461.3,10897.5,544.87,490.86,490.86,73.97,26.02,0.01,2.98,3.68,38.96,54.38,22.4,53.39,24.21,367.0,1526.59
57,"2018-01-01","Rabi","WBCIS","Chhattisgarh","22",27.0,7724.0,2049.0,7005.0,4.15,3874.62,193.73,378.36,378.36,92.28,7.67,0.05,4.63,35.81,44.75,14.81,5.42,77.72,16.86,340.0,950.45
58,"2018-01-01","Rabi","WBCIS","Himachal Pradesh","2",11.0,81937.0,83845.0,276.0,6412.02,51696.93,2584.85,2091.75,2091.75,90.95,8.99,0.06,10.64,8.47,1.87,79.02,45.03,47.24,7.73,1262.0,6768.35
59,"2018-01-01","Rabi","WBCIS","Karnataka","29",30.0,6619.0,1272.0,5347.0,0.01,0.09,0.0,0.01,0.01,85.3,14.7,0.0,3.85,1.02,23.33,71.8,10.28,36.5,53.22,1629.0,0.03
60,"2018-01-01","Rabi","WBCIS","Kerala","32",10.0,19727.0,13860.0,8821.0,15.05,11955.06,188.18,926.46,926.46,68.42,31.36,0.22,1.58,0.03,67.13,31.26,13.28,67.47,19.25,193.0,2041.1
61,"2018-01-01","Rabi","WBCIS","Madhya Pradesh","23",50.0,193531.0,283177.0,15135.0,222.87,134436.07,6449.64,2811.18,2811.18,89.71,10.16,0.13,5.63,3.05,58.86,32.46,17.59,38.47,43.94,678.0,12072.0
62,"2018-01-01","Rabi","WBCIS","Maharashtra","27",30.0,202090.0,87226.0,140762.0,199.38,236268.11,11813.41,23289.98,23289.98,84.14,15.81,0.05,3.54,0.86,28.42,67.18,14.96,70.36,14.68,1241.0,58393.37
63,"2018-01-01","Rabi","WBCIS","Rajasthan","8",20.0,58445.0,60455.0,2.0,34.85,38711.8,1935.59,2599.16,2599.16,92.54,7.4,0.06,7.46,8.29,66.6,17.65,17.29,31.41,51.3,20.0,7133.91
64,"2018-01-01","Rabi","WBCIS","Telangana","36",30.0,642.0,349.0,376.0,210.49,1037.11,51.86,0.62,0.62,81.66,18.34,0.0,2.07,2.9,38.62,56.41,9.24,47.86,42.9,206.0,53.09
65,"2018-01-01","Rabi","WBCIS","Uttarakhand","5",13.0,11250.0,8958.0,4172.0,457.51,9880.37,494.02,999.82,999.82,94.81,5.17,0.02,6.41,15.39,15.85,62.35,26.64,60.79,12.57,78.0,2493.66
66,"2018-01-01","Rabi","WBCIS","West Bengal","19",18.0,883.0,832.0,92.0,0.37,403.38,18.69,41.08,41.08,93.4,6.6,-0.0,16.67,1.19,10.06,72.08,11.15,46.97,41.88,69.0,100.85
67,"2019-01-01","Kharif","PMFBY","Andhra Pradesh","28",13.0,1333768.0,1403189.0,1069217.0,1552.36,1279283.71,16.08,41615.44,78689.88,71.72,28.24,0.04,4.45,3.21,44.27,48.07,17.84,76.62,5.54,13851.0,120321.4
68,"2019-01-01","Kharif","PMFBY","Assam","18",27.0,370353.0,26549.0,366418.0,247.81,146639.06,86.76,1516.48,4411.05,81.49,18.47,0.04,2.72,8.12,11.73,77.43,41.88,52.93,5.19,163.0,6014.29
69,"2019-01-01","Kharif","PMFBY","Chhattisgarh","22",27.0,1326347.0,3372785.0,333694.0,2212.65,823376.34,16467.52,49332.27,49332.27,89.02,10.88,0.1,9.73,22.07,63.13,5.07,22.5,52.6,24.9,18573.0,115132.06
70,"2019-01-01","Kharif","PMFBY","Goa","30",2.0,109.0,767.0,9.0,0.11,80.65,2.03,0.34,0.34,86.6,13.4,0.0,1.93,1.16,18.43,78.48,9.92,7.99,82.09,2.0,2.7
71,"2019-01-01","Kharif","PMFBY","Gujarat","24",2.0,2.0,10.0,1.0,0.01,4.51,0.17,0.0,0.0,100.0,0.0,0.0,0.0,0.0,81.82,18.18,9.09,90.91,0.0,2.0,0.17
72,"2019-01-01","Kharif","PMFBY","Haryana","6",22.0,703757.0,829738.0,31341.0,1167.88,861769.33,17117.79,30153.39,41530.26,92.0,7.96,0.04,0.68,0.05,14.27,85.0,18.24,63.01,18.75,6855.0,88801.44
73,"2019-01-01","Kharif","PMFBY","Himachal Pradesh","2",10.0,89592.0,94519.0,1466.0,35.57,10670.8,213.42,145.17,145.17,92.35,7.63,0.02,5.26,2.57,8.49,83.68,36.97,56.61,6.42,128.0,503.76
74,"2019-01-01","Kharif","PMFBY","Jharkhand","20",24.0,888453.0,153186.0,910737.0,621.47,361483.91,21180.8,13961.1,20237.65,74.62,25.32,0.06,5.69,23.28,45.44,25.59,10.21,86.24,3.55,4371.0,55379.55
75,"2019-01-01","Kharif","PMFBY","Karnataka","29",30.0,1416719.0,597612.0,819107.0,1.22,5.5,0.13,0.59,0.59,79.73,20.27,-0.0,4.25,2.59,21.71,71.45,21.89,53.95,24.16,13714.0,1.32
76,"2019-01-01","Kharif","PMFBY","Kerala","32",14.0,6021.0,7713.0,358.0,5.1,5093.53,105.03,136.89,136.89,65.06,34.39,0.55,0.55,0.11,24.59,74.75,42.37,54.18,3.45,365.0,378.81
77,"2019-01-01","Kharif","PMFBY","Madhya Pradesh","23",52.0,2534865.0,4189472.0,51149.0,6546.1,1808326.34,38482.7,122108.36,122108.36,88.01,11.85,0.14,5.13,11.85,57.65,25.37,14.01,52.85,33.14,19380.0,282699.42
78,"2019-01-01","Kharif","PMFBY","Maharashtra","27",34.0,4736071.0,1494882.0,11172393.0,6748.25,2314735.91,58102.59,197595.69,197595.69,81.22,18.75,0.03,5.01,1.98,33.45,59.56,10.11,81.53,8.36,2208.0,453293.97
79,"2019-01-01","Kharif","PMFBY","Manipur","14",7.0,2534.0,684.0,2603.0,2.58,1752.98,35.06,46.1,46.1,67.84,32.16,0.0,12.05,1.86,27.65,58.44,43.5,56.16,0.34,13.0,127.26
80,"2019-01-01","Kharif","PMFBY","Meghalaya","17",6.0,651.0,841.0,0.0,0.45,342.95,12.85,0.2,0.2,46.97,52.91,0.12,0.0,97.98,1.9,0.12,49.23,50.65,0.12,8.0,13.26
81,"2019-01-01","Kharif","PMFBY","Odisha","21",30.0,1999868.0,2877870.0,1882395.0,1843.84,1202259.26,24064.99,97322.98,97322.98,84.29,15.68,0.03,9.2,15.08,58.69,17.03,16.34,76.58,7.08,7061.0,218710.95
82,"2019-01-01","Kharif","PMFBY","Rajasthan","8",33.0,2185880.0,4572656.0,61244.0,5694.41,1660583.53,37993.61,149892.51,149892.51,88.96,10.87,0.17,8.28,7.67,62.17,21.88,17.93,46.74,35.33,11249.0,337778.63
