timestamp,district,grid_lat,grid_lon,seasonal_rain_mm,seasonal_rain_threshold_90,actual_rain_mm
2022-06-01 00:00:00,LAT11.5_LON78.25,11.5,78.25,1005.8237,2246.41,2.7557
2022-06-01 00:00:00,LAT11.5_LON78.5,11.5,78.5,1045.7577,2246.41,2.8651
2022-06-01 00:00:00,LAT11.5_LON78.75,11.5,78.75,1185.034,2246.41,3.2467
2022-06-01 00:00:00,LAT11.5_LON79.0,11.5,79.0,1149.9972,2246.41,3.1507
2022-06-01 00:00:00,LAT11.5_LON79.25,11.5,79.25,1255.4568,2246.41,3.4396
2022-06-01 00:00:00,LAT11.5_LON79.5,11.5,79.5,1554.1655,2246.41,4.258
2022-06-01 00:00:00,LAT11.5_LON79.75,11.5,79.75,1581.2249,2246.41,4.3321
2022-06-01 00:00:00,LAT11.75_LON75.25,11.75,75.25,3043.565,2246.41,8.3385
2022-06-01 00:00:00,LAT11.75_LON75.5,11.75,75.5,3176.011,2246.41,8.7014
2022-06-01 00:00:00,LAT11.75_LON75.75,11.75,75.75,2923.3167,2246.41,8.0091
2022-06-01 00:00:00,LAT11.75_LON76.0,11.75,76.0,2621.91,2246.41,7.1833
2022-06-01 00:00:00,LAT11.75_LON76.25,11.75,76.25,2173.8213,2246.41,5.9557
2022-06-01 00:00:00,LAT11.75_LON76.5,11.75,76.5,1571.9756,2246.41,4.3068
2022-06-01 00:00:00,LAT11.75_LON76.75,11.75,76.75,1442.3905,2246.41,3.9518
2022-06-01 00:00:00,LAT11.75_LON77.0,11.75,77.0,1271.656,2246.41,3.484
2022-06-01 00:00:00,LAT11.75_LON77.25,11.75,77.25,1237.2233,2246.41,3.3897
2022-06-01 00:00:00,LAT11.75_LON77.5,11.75,77.5,1349.5165,2246.41,3.6973
2022-06-01 00:00:00,LAT11.75_LON77.75,11.75,77.75,1393.7006,2246.41,3.8184
2022-06-01 00:00:00,LAT11.75_LON78.0,11.75,78.0,1887.5636,2246.41,5.1714
